longitude,latitude,price,property_type,property_subtype,date_of_construction,property_condition,livable_surface,number_of_bedrooms,number_of_bathrooms,elevator,furnished,province,land_surface,balcony,swimming_pool,availability_clean
4.32036,50.43664,179999,House,House,1900.0,Normal,425.0,2.0,1.0,False,False,Hainaut,250.0,False,False,Unknown
4.18073898,50.16937695,195000,House,House,1900.0,To be renovated,127.0,3.0,1.0,False,False,Hainaut,805.0,False,False,On contract
4.4785694,50.4083176,150000,House,House,1948.0,Unknown,123.0,3.0,1.0,False,False,Hainaut,573.0,False,False,On contract
3.219272,50.7459126,159000,Appartment,Flat,1975.0,Unknown,146.0,4.0,1.0,False,False,Hainaut,573.0,False,False,Unknown
3.3880367,50.6056059,115000,Appartment,Flat,1975.0,Normal,47.0,1.0,1.0,True,False,Hainaut,573.0,False,False,On contract
3.3880367,50.6056059,169000,Appartment,Flat,1975.0,Normal,117.0,3.0,3.0,False,False,Hainaut,573.0,False,False,Unknown
3.8747222,50.4055556,160000,House,House,1975.0,Normal,90.0,2.0,1.0,False,False,Hainaut,244.0,False,False,Unknown
3.3880367,50.6056059,165000,Appartment,Flat,1975.0,Normal,47.0,1.0,1.0,True,False,Hainaut,573.0,False,False,On contract
4.0192594,50.4910335,199999,House,House,1975.0,To renovate,136.0,2.0,1.0,False,False,Hainaut,464.0,False,False,Unknown
3.219272,50.7459126,159000,Appartment,Flat,1975.0,Normal,140.0,4.0,1.0,False,False,Hainaut,573.0,False,False,Unknown
3.219272,50.7459126,695000,House,House,1975.0,Unknown,495.0,6.0,3.0,False,False,Hainaut,1321.0,False,False,Unknown
4.1775563,50.1697186,145000,House,House,1972.0,To be renovated,150.0,3.0,1.0,False,False,Hainaut,1237.0,False,False,On contract
3.429654,50.5905657,155000,House,House,1975.0,To be renovated,190.0,4.0,3.0,False,False,Hainaut,500.0,False,False,On contract
3.3098471,50.6803312,99000,House,House,1975.0,To be renovated,72.0,2.0,1.0,False,False,Hainaut,250.0,False,False,On contract
3.9491224,50.4472628,139000,Appartment,Flat,1989.0,Normal,75.0,1.0,1.0,False,False,Hainaut,573.0,False,False,Unknown
4.1800483,50.1675884,199000,House,MixedBuilding,1975.0,Unknown,220.0,4.0,4.0,False,False,Hainaut,82.0,False,False,Unknown
3.7655209,50.5763049,475000,House,Villa,2007.0,Normal,340.0,4.0,1.0,False,False,Hainaut,3000.0,False,True,On contract
3.940031,50.5637698,120000,House,House,1975.0,Unknown,170.0,2.0,1.0,False,False,Hainaut,1790.0,False,False,Immediately
4.0091225,50.4742413,460000,House,Villa,1975.0,Excellent,250.0,4.0,2.0,False,False,Hainaut,1793.0,False,True,On contract
4.5467925,50.4814435,250000,House,MixedBuilding,1975.0,To renovate,500.0,3.0,1.0,False,False,Hainaut,573.0,False,False,Unknown
3.9491224,50.4472628,169000,Appartment,Flat,1989.0,Fully renovated,108.0,2.0,1.0,False,False,Hainaut,573.0,False,False,Unknown
4.20887784,50.46812005,350000,House,House,1952.0,Unknown,370.0,2.0,1.0,False,False,Hainaut,260.0,False,False,Unknown
4.1768924,50.1518285,101000,House,House,1975.0,To be renovated,115.0,2.0,1.0,False,False,Hainaut,520.0,False,False,On contract
4.4224485,50.430546,199000,House,Villa,1975.0,Normal,125.0,2.0,1.0,False,False,Hainaut,340.0,False,False,On contract
3.3098471,50.6803312,270000,House,House,1950.0,Fully renovated,165.0,3.0,1.0,False,False,Hainaut,200.0,False,False,On contract
3.66987467,50.497539,249000,House,House,1850.0,To be renovated,327.0,5.0,1.0,False,False,Hainaut,1836.0,False,False,On contract
3.9491224,50.4472628,144000,Appartment,Flat,1989.0,Normal,73.0,1.0,1.0,False,False,Hainaut,573.0,False,False,Unknown
3.23762029,50.73765605,149000,House,House,1975.0,Unknown,125.0,2.0,1.0,False,False,Hainaut,573.0,False,False,Unknown
3.9611502,50.4878838,175000,House,House,1975.0,Normal,90.0,2.0,1.0,False,False,Hainaut,573.0,False,False,Unknown
3.219272,50.7459126,499000,House,Villa,1960.0,Normal,250.0,5.0,2.0,False,False,Hainaut,500.0,False,False,On contract
4.44718,50.4315093,239000,House,House,1975.0,Normal,162.0,3.0,1.0,False,False,Hainaut,260.0,False,False,Immediately
3.219272,50.7459126,179000,House,House,1975.0,Normal,123.0,3.0,1.0,False,False,Hainaut,190.0,False,False,On contract
3.8879936,50.5060252,595000,House,Mansion,1975.0,To be renovated,357.0,4.0,2.0,False,False,Hainaut,357.0,False,False,Unknown
3.7827922,50.4000125,240000,House,House,1975.0,To be renovated,436.0,2.0,1.0,False,False,Hainaut,1047.0,False,False,Immediately
